unique_id,start_date,end_date,is_active
Y3XBIGDD,1/18/2020,2/17/2020,1
MJO538C8,1/18/2020,2/17/2020,1
BBDBNMN4,1/18/2020,2/17/2020,1
KDEL14JB,1/19/2020,2/18/2020,1
K0C8B62H,1/20/2020,2/19/2020,1
5TLNF3MZ,1/20/2020,2/19/2020,1
MZE7TZ5J,1/20/2020,2/19/2020,1
02GEPZ4H,1/21/2020,2/20/2020,1
OM8X0D6D,1/21/2020,2/20/2020,1
GAFSXQ6S,1/21/2020,2/20/2020,1
MAMUDFH3,1/21/2020,2/20/2020,1
QZGI14MZ,1/21/2020,2/20/2020,1
8WQ7YKKO,1/22/2020,2/21/2020,1
G3ENWB1K,1/22/2020,2/21/2020,1
5S6KZ4HQ,1/23/2020,2/22/2020,1
UBTJMFUC,1/23/2020,2/22/2020,1
REXP9J3E,1/24/2020,2/23/2020,1
F4PBB8BN,1/24/2020,2/23/2020,1
Z44IKHNA,1/24/2020,2/23/2020,1
1SDKX3X6,1/24/2020,2/23/2020,1
MW6AF7FR,1/25/2020,2/24/2020,1
3R6W7FQD,1/25/2020,2/24/2020,1
5MWIY4J3,1/25/2020,2/24/2020,1
PX3AS8WK,1/25/2020,2/24/2020,1
X8D0ARR0,1/28/2020,2/27/2020,1
JATH7U2T,1/28/2020,2/27/2020,1
BQ33POPJ,1/28/2020,2/27/2020,1
DHSIQ0C6,1/28/2020,2/27/2020,1
YTMF4CDZ,1/28/2020,2/27/2020,1
IVQFR2AP,1/29/2020,2/28/2020,1
G6J3JYRF,1/29/2020,2/28/2020,1
19SG00K7,1/29/2020,2/28/2020,1
SKPBKRN0,1/30/2020,2/29/2020,1
P7CSSH2J,1/30/2020,2/29/2020,1
SK2RS3C6,1/30/2020,2/29/2020,1
QAU1JKQG,1/30/2020,2/29/2020,1
23WIWI3S,1/30/2020,2/29/2020,1
MKVW6PRA,1/31/2020,3/1/2020,1
Z70DWXXG,2/1/2020,3/2/2020,1
DNRYTSMN,2/1/2020,3/2/2020,1
U1A0S5C1,2/1/2020,3/2/2020,1
T5IM6EK6,2/1/2020,3/2/2020,1
IXJFHOD3,2/2/2020,3/3/2020,1
MVEQVFTW,2/2/2020,3/3/2020,1
Z98MULX4,2/3/2020,3/4/2020,1
MC6JQ3J4,2/4/2020,3/5/2020,1
UZI8SD6B,2/4/2020,3/5/2020,1
OJ7Q98SY,2/4/2020,3/5/2020,1
XDFDCA6J,2/4/2020,3/5/2020,1
8DAA1QJN,2/4/2020,3/5/2020,1
ENRE6WYX,2/5/2020,3/6/2020,1
FQLRS44D,2/5/2020,3/6/2020,1
C5YV9ZBZ,2/5/2020,3/6/2020,1
Y1JLA2XX,2/6/2020,3/7/2020,1
F1AS751E,2/6/2020,3/7/2020,1
QYC4SL8D,2/7/2020,3/8/2020,1
CJB6PISF,2/7/2020,3/8/2020,1
ZMWM8DRY,2/7/2020,3/8/2020,1
EQ2ARL6T,2/8/2020,3/9/2020,1
HS767OFA,2/8/2020,3/9/2020,1
N376FAHC,2/8/2020,3/9/2020,1
43GZXR5M,2/9/2020,3/10/2020,1
331HYHRT,2/10/2020,3/11/2020,1
0JIA596K,2/10/2020,3/11/2020,1
1GLEH7P4,2/10/2020,3/11/2020,1
RBIENE6F,2/11/2020,3/12/2020,1
B3D4D7AR,2/12/2020,3/13/2020,1
X2WEIKJW,2/12/2020,3/13/2020,1
2CNJ5M7E,2/14/2020,3/15/2020,1
B6L0L2ZB,2/14/2020,3/15/2020,1
1Q51R1G8,2/14/2020,3/15/2020,1
YJ9BNOW9,2/15/2020,3/16/2020,1
NMHSPIF8,2/15/2020,3/16/2020,1
7OFJ7CGI,2/16/2020,3/17/2020,1
6U3EPTEW,2/16/2020,3/17/2020,1
DXPKHIVS,2/16/2020,3/17/2020,1
2K0UB0IA,2/16/2020,3/17/2020,1
9YPYY4HQ,2/17/2020,3/18/2020,1
WUBCXYEK,2/17/2020,3/18/2020,1
FN6BOWD9,2/18/2020,3/19/2020,1
AS651OZD,2/18/2020,3/19/2020,1
2AHTZCLK,2/18/2020,3/19/2020,1
J1HGBXDI,2/19/2020,3/20/2020,1
3OVT85D4,2/19/2020,3/20/2020,1
PJU74E30,2/19/2020,3/20/2020,1
TYV83KFW,2/19/2020,3/20/2020,1
S2E53ENO,2/19/2020,3/20/2020,1
DNU8783V,2/19/2020,3/20/2020,1
SXBS4W6T,2/19/2020,3/20/2020,1
BE1VXPC1,2/19/2020,3/20/2020,1
F3JFN5CD,2/19/2020,3/20/2020,1
GYRYIGTI,2/19/2020,3/20/2020,1
I3HM17P1,2/20/2020,3/21/2020,1
CRY8O7VI,2/20/2020,3/21/2020,1
GT1ZJPSV,2/20/2020,3/21/2020,1
PCOEXA9B,2/20/2020,3/21/2020,1
HCMLQ9C1,2/20/2020,3/21/2020,1
J2L3UAW0,2/20/2020,3/21/2020,1
MAE859VY,2/20/2020,3/21/2020,1
2AKLT8T9,2/20/2020,3/21/2020,1
9ANKOJ5N,2/20/2020,3/21/2020,1
HMWHTF5G,2/20/2020,3/21/2020,1
570V3GSM,2/20/2020,3/21/2020,1
I5HFOAIA,2/20/2020,3/21/2020,1
SFHOLDA3,2/21/2020,3/22/2020,1
KFDVUMPB,2/21/2020,3/22/2020,1
SP5I80UN,2/21/2020,3/22/2020,1
UB926B62,2/21/2020,3/22/2020,1
K5LKXGN9,2/21/2020,3/22/2020,1
8QLF0ACW,2/21/2020,3/22/2020,1
NQ5RRGYY,2/21/2020,3/22/2020,1
INXZAGVH,2/21/2020,3/22/2020,1
05XGFZE3,2/21/2020,3/22/2020,1
2X0TQ4LZ,2/21/2020,3/22/2020,1
1U6203PB,2/21/2020,3/22/2020,1
K2XNWPY6,2/22/2020,3/23/2020,1
UX5G57NO,2/22/2020,3/23/2020,1
LTSXWV0N,2/22/2020,3/23/2020,1
K24IVJ7U,2/22/2020,3/23/2020,1
1RISQS04,2/22/2020,3/23/2020,1
GKJ3PESO,2/22/2020,3/23/2020,1
NY2DI9KT,2/22/2020,3/23/2020,1
WCY00HM8,2/22/2020,3/23/2020,1
ADOC67PG,2/22/2020,3/23/2020,1
B57YZYW9,2/22/2020,3/23/2020,1
CRDXH287,2/22/2020,3/23/2020,1
QS3NR8RF,2/22/2020,3/23/2020,1
UY9BMOIT,2/22/2020,3/23/2020,1
3PZZMY1Z,2/22/2020,3/23/2020,1
4E8T6NBR,2/22/2020,3/23/2020,1
O70OZ1EP,2/23/2020,3/24/2020,1
9LVANO7Z,2/23/2020,3/24/2020,1
NOL5VLVG,2/23/2020,3/24/2020,1
FFS8SPXC,2/23/2020,3/24/2020,1
DLOKZAPV,2/23/2020,3/24/2020,1
HSGZQRAU,2/23/2020,3/24/2020,1
XD4D1Z7O,2/23/2020,3/24/2020,1
VHM6F434,2/23/2020,3/24/2020,1
S74O67Q7,2/23/2020,3/24/2020,1
5I1WPLMW,2/23/2020,3/24/2020,1
QHSX4HMU,2/23/2020,3/24/2020,1
TAFVST3T,2/23/2020,3/24/2020,1
6F69IMCV,2/23/2020,3/24/2020,1
RLTHFA9L,2/24/2020,3/25/2020,1
RF7I3WUW,2/24/2020,3/25/2020,1
X9M0MC05,2/24/2020,3/25/2020,1
KWTNNE0O,2/24/2020,3/25/2020,1
GXFYNUHO,2/24/2020,3/25/2020,1
4WAK56UN,2/24/2020,3/25/2020,1
1JCPKWUL,2/24/2020,3/25/2020,1
T0OZVASA,2/24/2020,3/25/2020,1
1WHG3FMH,2/24/2020,3/25/2020,1
I4CVZKQC,2/24/2020,3/25/2020,1
8T1HWN2A,2/24/2020,3/25/2020,1
XYSNU4AZ,2/24/2020,3/25/2020,1
EMVR1XCD,2/24/2020,3/25/2020,1
NCRDAJPE,2/24/2020,3/25/2020,1
KSVWOKRN,2/24/2020,3/25/2020,1
R92U829J,2/24/2020,3/25/2020,1
7YFYA2NY,2/24/2020,3/25/2020,1
L83JCHYJ,2/24/2020,3/25/2020,1
5WCKDADN,2/24/2020,3/25/2020,1
XTJCRW0Q,2/24/2020,3/25/2020,1
XH9882LS,2/25/2020,3/26/2020,1
2PCWX8BO,2/25/2020,3/26/2020,1
FMTKTFYX,2/25/2020,3/26/2020,1
3DD88MTG,2/25/2020,3/26/2020,1
W0SI01BT,2/25/2020,3/26/2020,1
OVE1WRMK,2/25/2020,3/26/2020,1
LZY5PK0R,2/25/2020,3/26/2020,1
Y61EQN36,2/25/2020,3/26/2020,1
VEVOI50F,2/25/2020,3/26/2020,1
3V3QFNO9,2/25/2020,3/26/2020,1
X4X18WBF,2/25/2020,3/26/2020,1
U77442HJ,2/26/2020,3/27/2020,1
NGEMNTH8,2/26/2020,3/27/2020,1
HP0TCMMS,2/26/2020,3/27/2020,1
X31158U8,2/26/2020,3/27/2020,1
IPZEN1HE,2/26/2020,3/27/2020,1
XNFIMV8W,2/26/2020,3/27/2020,1
C7A32TBG,2/26/2020,3/27/2020,1
MPL5WLO3,2/26/2020,3/27/2020,1
EIIEUIC7,2/26/2020,3/27/2020,1
8CY1I9BC,2/26/2020,3/27/2020,1
SCDT9UR1,2/26/2020,3/27/2020,1
W534D149,2/26/2020,3/27/2020,1
48V1OBWU,2/26/2020,3/27/2020,1
IPEYSYCX,2/26/2020,3/27/2020,1
PLX2D7NH,2/26/2020,3/27/2020,1
DKJ2N82L,2/26/2020,3/27/2020,1
MVN38CNW,2/27/2020,3/28/2020,1
KW0FUB1Y,2/27/2020,3/28/2020,1
JI22P2O7,2/27/2020,3/28/2020,1
6I3FSHOG,2/27/2020,3/28/2020,1
6LQC7UF8,2/27/2020,3/28/2020,1
5Q9B9VTZ,2/27/2020,3/28/2020,1
BB0QC1HG,2/27/2020,3/28/2020,1
O4OWIO2H,2/27/2020,3/28/2020,1
PWWSG1PX,2/27/2020,3/28/2020,1
BBXXKGQ3,2/27/2020,3/28/2020,1
P0CUMSUS,2/27/2020,3/28/2020,1
ZO799RW6,2/27/2020,3/28/2020,1
YOXAP1GB,2/27/2020,3/28/2020,1
9B28T6DB,2/27/2020,3/28/2020,1
E1MVGP3K,2/27/2020,3/28/2020,1
FR6H3PPR,2/27/2020,3/28/2020,1
FAJYS33S,2/28/2020,3/29/2020,1
XJF0OV8B,2/28/2020,3/29/2020,1
AWPWGIRZ,2/28/2020,3/29/2020,1
BRYY0U3S,2/28/2020,3/29/2020,1
Z1HYOZBS,2/28/2020,3/29/2020,1
3W973WYB,2/28/2020,3/29/2020,1
S4UTB6ML,2/28/2020,3/29/2020,1
6JB4G3GK,2/28/2020,3/29/2020,1
79NT776X,2/28/2020,3/29/2020,1
BYMRZX23,2/28/2020,3/29/2020,1
FG8EUOM3,2/28/2020,3/29/2020,1
VDEWCN6X,2/28/2020,3/29/2020,1
YEYW9EON,2/28/2020,3/29/2020,1
CU2V2T0S,2/29/2020,3/30/2020,1
HVD24RL7,2/29/2020,3/30/2020,1
W7ZBK7SJ,2/29/2020,3/30/2020,1
SSXE1BPX,2/29/2020,3/30/2020,1
F647DPIU,2/29/2020,3/30/2020,1
F2IGHZ2U,2/29/2020,3/30/2020,1
0DDD1LBL,2/29/2020,3/30/2020,1
6NM4205P,2/29/2020,3/30/2020,1
EVAIQYZE,2/29/2020,3/30/2020,1
8M1GPB57,2/29/2020,3/30/2020,1
C6XJET2K,3/1/2020,3/31/2020,1
IUNK8VDW,3/1/2020,3/31/2020,1
LFNBA5Q9,3/1/2020,3/31/2020,1
SH8HAXRW,3/1/2020,3/31/2020,1
QRD1YV4O,3/1/2020,3/31/2020,1
B8A45V4G,3/1/2020,3/31/2020,1
KDDF3V5Y,3/1/2020,3/31/2020,1
GFJWLVDF,3/1/2020,3/31/2020,1
S20BF77J,3/1/2020,3/31/2020,1
DMN8LOT6,3/1/2020,3/31/2020,1
YBH7UKXX,3/1/2020,3/31/2020,1
7ZLTZHFE,3/1/2020,3/31/2020,1
BDKIRBC2,3/1/2020,3/31/2020,1
CGVZR4BO,3/2/2020,4/1/2020,1
A29T3VP8,3/2/2020,4/1/2020,1
BYOG6M7B,3/2/2020,4/1/2020,1
AKOEM4CU,3/2/2020,4/1/2020,1
8E62SDBW,3/2/2020,4/1/2020,1
LC6TWK4Y,3/2/2020,4/1/2020,1
A4USRTBI,3/2/2020,4/1/2020,1
HU72VPGA,3/2/2020,4/1/2020,1
2WCJL6Q2,3/2/2020,4/1/2020,1
ILG3KEP9,3/2/2020,4/1/2020,1
3RHHNT4B,3/2/2020,4/1/2020,1
HNM4L6T0,3/2/2020,4/1/2020,1
DY0JXTCQ,3/2/2020,4/1/2020,1
M878UJK5,3/2/2020,4/1/2020,1
H3DSSFEK,3/2/2020,4/1/2020,1
8P79SFXE,3/2/2020,4/1/2020,1
25Z97N1S,3/2/2020,4/1/2020,1
EWMVP8X4,3/2/2020,4/1/2020,1
RA5YPNBF,3/2/2020,4/1/2020,1
JLB17L5V,3/3/2020,4/2/2020,1
EFVTSLDW,3/3/2020,4/2/2020,1
6WYJSSRN,3/3/2020,4/2/2020,1
B5E9DLQV,3/3/2020,4/2/2020,1
KD2EL3DI,3/3/2020,4/2/2020,1
787HWWT3,3/3/2020,4/2/2020,1
9UL9A1UL,3/3/2020,4/2/2020,1
P5R7FTM2,3/3/2020,4/2/2020,1
LKILW1PZ,3/3/2020,4/2/2020,1
A61GMWFB,3/3/2020,4/2/2020,1
1QNV1JVG,3/3/2020,4/2/2020,1
C5E6ZBID,3/3/2020,4/2/2020,1
B6NXKNTM,3/3/2020,4/2/2020,1
2WNKRURR,3/3/2020,4/2/2020,1
RV69MBXJ,3/3/2020,4/2/2020,1
C7E8PXS8,3/3/2020,4/2/2020,1
UP1OIWUN,3/4/2020,4/3/2020,1
8CJFRVQV,3/4/2020,4/3/2020,1
F6F3KJ6B,3/4/2020,4/3/2020,1
J0JD3EUP,3/4/2020,4/3/2020,1
1VJPPR6R,3/4/2020,4/3/2020,1
FZH8OL8M,3/4/2020,4/3/2020,1
DKE4YR83,3/4/2020,4/3/2020,1
MNUFOB13,3/4/2020,4/3/2020,1
7BS4C7VD,3/4/2020,4/3/2020,1
RQNO8F5F,3/4/2020,4/3/2020,1
UHRTFYJG,3/4/2020,4/3/2020,1
CPCBR3FR,3/4/2020,4/3/2020,1
3W59X5YA,3/4/2020,4/3/2020,1
D69GBADT,3/5/2020,4/4/2020,1
ISD3BS2N,3/5/2020,4/4/2020,1
QG4QADBT,3/5/2020,4/4/2020,1
9ECFGIOT,3/5/2020,4/4/2020,1
TZ0DUNQX,3/5/2020,4/4/2020,1
0H2OYT4S,3/5/2020,4/4/2020,1
29UB1BFN,3/5/2020,4/4/2020,1
KBZBBVMK,3/5/2020,4/4/2020,1
6LU5B8KG,3/5/2020,4/4/2020,1
BT5LCD58,3/5/2020,4/4/2020,1
BV66Z93U,3/5/2020,4/4/2020,1
T6CFXOY7,3/5/2020,4/4/2020,1
A8HDQ0QZ,3/5/2020,4/4/2020,1
GLRVKP57,3/5/2020,4/4/2020,1
E2D6ZOF2,3/5/2020,4/4/2020,1
72LYS2YB,3/5/2020,4/4/2020,1
G10HR8FE,3/5/2020,4/4/2020,1
QPADGT1R,3/5/2020,4/4/2020,1
FI4J29OW,3/5/2020,4/4/2020,1
G16CXZ5L,3/5/2020,4/4/2020,1
MOE597HV,3/5/2020,4/4/2020,1
YIVSN7C8,3/6/2020,4/5/2020,1
LGFJE9TU,3/6/2020,4/5/2020,1
N2GT4VO5,3/6/2020,4/5/2020,1
KX7IAZ5R,3/6/2020,4/5/2020,1
B77DRZ9V,3/6/2020,4/5/2020,1
T8XOACSX,3/6/2020,4/5/2020,1
E45W9NH5,3/6/2020,4/5/2020,1
W0PFEVNG,3/6/2020,4/5/2020,1
ZZD1IJEO,3/6/2020,4/5/2020,1
UDYGGYNK,3/6/2020,4/5/2020,1
7XAK4DXK,3/6/2020,4/5/2020,1
IYJGNC47,3/6/2020,4/5/2020,1
BZ0UHTNH,3/7/2020,4/6/2020,1
I3HQOB9G,3/7/2020,4/6/2020,1
DKIN58FA,3/7/2020,4/6/2020,1
EYN94NGI,3/7/2020,4/6/2020,1
CFPYFVU6,3/7/2020,4/6/2020,1
T1NFN8PS,3/7/2020,4/6/2020,1
W28Q9DMH,3/7/2020,4/6/2020,1
CFMAY1NU,3/7/2020,4/6/2020,1
2C324C42,3/7/2020,4/6/2020,1
D40CVQDK,3/7/2020,4/6/2020,1
5DJCQOTO,3/7/2020,4/6/2020,1
ITZLCTO0,3/7/2020,4/6/2020,1
11C6VHC5,3/8/2020,4/7/2020,1
KK8FPWDG,3/8/2020,4/7/2020,1
UF36RF58,3/8/2020,4/7/2020,1
540G7M0E,3/8/2020,4/7/2020,1
IKRAGFL7,3/8/2020,4/7/2020,1
ML511GWZ,3/8/2020,4/7/2020,1
VS4V20UU,3/8/2020,4/7/2020,1
SYTGJ68P,3/8/2020,4/7/2020,1
68FTYZJV,3/8/2020,4/7/2020,1
GHCGJ5AJ,3/8/2020,4/7/2020,1
QC4Z8AUR,3/8/2020,4/7/2020,1
08PHNBNF,3/8/2020,4/7/2020,1
ILR21DP5,3/8/2020,4/7/2020,1
3L96CYVE,3/8/2020,4/7/2020,1
FJWD3VRH,3/8/2020,4/7/2020,1
1Y4QI1NG,3/8/2020,4/7/2020,1
CXX4LAC8,3/8/2020,4/7/2020,1
1EDHVEAJ,3/8/2020,4/7/2020,1
Z3RI3UT0,3/9/2020,4/8/2020,1
6BT0WWZO,3/9/2020,4/8/2020,1
BCJNCZIC,3/9/2020,4/8/2020,1
GV456PLF,3/9/2020,4/8/2020,1
5WJHIM6H,3/9/2020,4/8/2020,1
L1MHOAT5,3/9/2020,4/8/2020,1
2RMC0353,3/9/2020,4/8/2020,1
XSW38SYK,3/9/2020,4/8/2020,1
TBKY9ZFT,3/9/2020,4/8/2020,1
0KIIVIFL,3/9/2020,4/8/2020,1
YHLT8KQS,3/9/2020,4/8/2020,1
K03HJMQX,3/9/2020,4/8/2020,1
2QWC93T4,3/10/2020,4/9/2020,1
30GTM90Y,3/10/2020,4/9/2020,1
D0HZR8JD,3/10/2020,4/9/2020,1
BMLG6SQP,3/10/2020,4/9/2020,1
BMIT4GSI,3/10/2020,4/9/2020,1
MI2NGIPM,3/10/2020,4/9/2020,1
X8LG1QQP,3/10/2020,4/9/2020,1
KPEU9BGO,3/10/2020,4/9/2020,1
A2KWZFSD,3/10/2020,4/9/2020,1
ROGUK5OB,3/10/2020,4/9/2020,1
I6QA33E5,3/10/2020,4/9/2020,1
L675GFAZ,3/10/2020,4/9/2020,1
4Y1LFGUS,3/10/2020,4/9/2020,1
Q3GNDG84,3/10/2020,4/9/2020,1
QT264NE6,3/10/2020,4/9/2020,1
0IYYFJVN,3/10/2020,4/9/2020,1
GQ904IQ5,3/10/2020,4/9/2020,1
9QDTPLHS,3/10/2020,4/9/2020,1
GOZDX0LB,3/10/2020,4/9/2020,1
RUUMBXMF,3/10/2020,4/9/2020,1
QSH388WX,3/10/2020,4/9/2020,1
BM4JL18P,3/10/2020,4/9/2020,1
07YWR2VA,3/10/2020,4/9/2020,1
WDKOAVCV,3/10/2020,4/9/2020,1
8P4NV69M,3/10/2020,4/9/2020,1
KEX23MEC,3/10/2020,4/9/2020,1
SEOQCKY4,3/10/2020,4/9/2020,1
Q3D3GNOH,3/10/2020,4/9/2020,1
0IPFVKFA,3/11/2020,4/10/2020,1
USS3S1Z0,3/11/2020,4/10/2020,1
EVVODFHY,3/11/2020,4/10/2020,1
METY6NL9,3/11/2020,4/10/2020,1
AOD1EU7T,3/11/2020,4/10/2020,1
O4JZS7HV,3/11/2020,4/10/2020,1
5LYMNVD2,3/11/2020,4/10/2020,1
MPKF3TJ2,3/11/2020,4/10/2020,1
CCW1NJRS,3/11/2020,4/10/2020,1
KC4YFEYV,3/11/2020,4/10/2020,1
Z93LEPB7,3/11/2020,4/10/2020,1
SK2RQBQA,3/11/2020,4/10/2020,1
TUHAW8NB,3/11/2020,4/10/2020,1
CPJQ0VRC,3/11/2020,4/10/2020,1
TVFOYEOK,3/11/2020,4/10/2020,1
ARHOZLEG,3/11/2020,4/10/2020,1
K87GYQLN,3/12/2020,4/11/2020,1
7V9YXCWA,3/12/2020,4/11/2020,1
1HU9VFRB,3/12/2020,4/11/2020,1
JVZIIYJH,3/12/2020,4/11/2020,1
0FE5HGY0,3/12/2020,4/11/2020,1
7Q7D1MU6,3/12/2020,4/11/2020,1
K4RZ864L,3/12/2020,4/11/2020,1
CCGDIV2F,3/12/2020,4/11/2020,1
5HG0FMD3,3/12/2020,4/11/2020,1
R6GTBKWC,3/12/2020,4/11/2020,1
EI2SUOEN,3/12/2020,4/11/2020,1
3VHTMRB3,3/12/2020,4/11/2020,1
ZHH5K0KB,3/12/2020,4/11/2020,1
4IHBYFUP,3/13/2020,4/12/2020,1
Z8H65AR3,3/13/2020,4/12/2020,1
RDWLG2O0,3/13/2020,4/12/2020,1
8HZAHO9B,3/13/2020,4/12/2020,1
5BIOG27U,3/13/2020,4/12/2020,1
1LYJ9680,3/13/2020,4/12/2020,1
0OYWR800,3/13/2020,4/12/2020,1
M7EPVFVP,3/13/2020,4/12/2020,1
VJO3IH4X,3/13/2020,4/12/2020,1
KP1PWV80,3/13/2020,4/12/2020,1
M16JKKNW,3/13/2020,4/12/2020,1
B12UQ3N5,3/14/2020,4/13/2020,1
F8WMTFKZ,3/14/2020,4/13/2020,1
VJBPVWKJ,3/14/2020,4/13/2020,1
PIY01V9E,3/14/2020,4/13/2020,1
JE6PVQRB,3/14/2020,4/13/2020,1
8VE4PBZT,3/14/2020,4/13/2020,1
T9F9B3RM,3/14/2020,4/13/2020,1
J9LWP30X,3/14/2020,4/13/2020,1
5MRJ99EU,3/14/2020,4/13/2020,1
IE1H9079,3/14/2020,4/13/2020,1
635XRWRR,3/15/2020,4/14/2020,1
TUZK0MCI,3/15/2020,4/14/2020,1
JNB4E623,3/15/2020,4/14/2020,1
XRU5GNF6,3/15/2020,4/14/2020,1
2K61UELU,3/15/2020,4/14/2020,1
J702G7KO,3/15/2020,4/14/2020,1
M4KMLZ32,3/15/2020,4/14/2020,1
8TYIOKA2,3/15/2020,4/14/2020,1
Q94NQPXH,3/15/2020,4/14/2020,1
VKILJABV,3/15/2020,4/14/2020,1
82NGXBD3,3/15/2020,4/14/2020,1
AGZ51YLG,3/16/2020,4/15/2020,1
G0Q7S1R5,3/16/2020,4/15/2020,1
BM4VKWYQ,3/16/2020,4/15/2020,1
PEZYZ7TI,3/16/2020,4/15/2020,1
66CNSE9Z,3/16/2020,4/15/2020,1
R5OSS9L1,3/16/2020,4/15/2020,1
10VDI2HG,3/16/2020,4/15/2020,1
5BIDY3L4,3/16/2020,4/15/2020,1
Y5KI4V1C,3/16/2020,4/15/2020,1
IRF8F7BI,3/16/2020,4/15/2020,1
P4P9Q11V,3/16/2020,4/15/2020,1
ANSCUQBV,3/16/2020,4/15/2020,1
JF7MZ57B,3/16/2020,4/15/2020,1
FOKQQEYF,3/16/2020,4/15/2020,1
2B7VQ9OZ,3/16/2020,4/15/2020,1
DEGP0KPY,3/16/2020,4/15/2020,1
N83Y6OWR,3/16/2020,4/15/2020,1
KJXOCIHH,3/17/2020,4/16/2020,1
BFUE1BU0,3/17/2020,4/16/2020,1
P6K9RJBV,3/17/2020,4/16/2020,1
GFSI0LID,3/17/2020,4/16/2020,1
Z2FQUTLE,3/17/2020,4/16/2020,1
0532595P,3/17/2020,4/16/2020,1
WN8FA8D5,3/17/2020,4/16/2020,1
2MS8DK6S,3/17/2020,4/16/2020,1
15JTEZ8D,3/17/2020,4/16/2020,1
Z4UOY459,3/17/2020,4/16/2020,1
7ZZKIMC7,3/17/2020,4/16/2020,1
3N2MCHM7,3/17/2020,4/16/2020,1
0IDZWBO5,3/17/2020,4/16/2020,1
MVT9JZVO,3/18/2020,4/17/2020,1
8QADDZSF,3/18/2020,4/17/2020,1
L0BBZ6WB,3/18/2020,4/17/2020,1
OBH731HD,3/18/2020,4/17/2020,1
HR2AH7L5,3/18/2020,4/17/2020,1
VJ0CRVVE,3/18/2020,4/17/2020,1
XRF6RR80,3/18/2020,4/17/2020,1
6LWK8V26,3/18/2020,4/17/2020,1
42TFUTOF,3/18/2020,4/17/2020,1
OCW9G2OZ,3/18/2020,4/17/2020,1
S4WXJ57U,3/18/2020,4/17/2020,1
U8IOPXBO,3/18/2020,4/17/2020,1
GL2I9GIZ,3/18/2020,4/17/2020,1
CU2V6CVQ,3/18/2020,4/17/2020,1
A56MOFSC,3/18/2020,4/17/2020,1
8LV0EX2K,3/18/2020,4/17/2020,1
71C5QHXC,3/19/2020,4/18/2020,1
OLIUTCJU,3/19/2020,4/18/2020,1
RPQVHXXU,3/19/2020,4/18/2020,1
F11NHDOW,3/19/2020,4/18/2020,1
8UP9IYOF,3/19/2020,4/18/2020,1
X5A65349,3/19/2020,4/18/2020,1
IWIUR84D,3/19/2020,4/18/2020,1
T50SC0VZ,3/19/2020,4/18/2020,1
WS3ANHJ5,3/19/2020,4/18/2020,1
B8DY6BY8,3/19/2020,4/18/2020,1
RXFVIC6K,3/19/2020,4/18/2020,1
B2M9965J,3/19/2020,4/18/2020,1
K6JT1DA7,3/19/2020,4/18/2020,1
VENHM67G,3/19/2020,4/18/2020,1
JTYOUTQY,3/19/2020,4/18/2020,1
